site_code,soil_depth,n_layers,layer_depth,layer_sand%,layer_clay%
US-Blo,-999,1,-999,60.0,11.0
US-CHATS,-999,1,-999,10.0,35.0
US-FPe,-999,1,-999,47.0,21.0
CA-Let,-999,1,-999,28.0,36.0
US-NR1,-999,1,-999,43.13,21.43
CA-Man,-999,1,-999,33.0,33.0
BR-Sa1,-999,1,-999,19.0,65.0
BR-Sa3,-999,1,-999,52.0,40.0
ES-ES1,-999,1,-999,82.0,5.0
FL-Hyy,-999,1,-999,82.0,5.0
FL-Kaa,-999,1,-999,42.0,18.0
IT-Col,-999,1,-999,22.0,13.0
IT-Cpz,-999,1,-999,82.0,5.0
DE-Tha,-999,1,-999,42.0,18.0
US-Brw,-999,1,-999,50.0,25.0
BE-Vie,-999,1,-999,42.0,18.0
US-ARM,-999,1,-999,28.0,43.1
US-Var,-999,1,-999,30.0,13.0
US-UMB,-999,1,-999,92.6,0.6
US-Ha1,-999,1,-999,66.0,6.0
US-Ho1,0.8,1,-999,50.3,15.9
US-MMS,-999,1,-999,34.0,63.0
US-Bo1,-999,1,-999,5.0,25.0
CA-Ca1,-999,1,-999,84.42,2.63
CA-Oas,-999,1,-999,50.32,18.8
CA-Obs,-999,1,-999,80.89,4.12
CA-Ojp,-999,1,-999,94.47,2.5
CA-Qfo,-999,1,-999,51.5,4.0
US-Dk2,-999,1,-999,54.43,21.62
US-Dk3,-999,1,-999,51.59,13.66
US-IB1,-999,1,-999,7.8,37.2
US-Me4,-999,1,-999,66.0,10.0
US-Me2,-999,1,-999,67.0,7.0
US-MOz,-999,1,-999,46.38,24.68
US-Ne3,-999,1,-999,30.7,31.68
US-WCr,-999,1,-999,42.52,20.17
TS-Ts1,-999,1,-999,43.13,21.43
TS-Ts2,-999,1,-999,43.13,21.43
TS-Ts3,-999,1,-999,43.13,21.43
LTER-Sev,-999,1,-999,52.,5.
RF-Bra,-999,1,-999,-999,-999
LBA-Cax,-999,1,-999,75.00,20.00
GUAN,-999,1,-999,7.7,34.9
SRER,-999,1,-999,73.7,3.8
WOOD,-999,1,-999,55.3,19.7
YELL,-999,1,-999,35.9,23
ONAQ,-999,1,-999,56.8,9.2
TEAK,-999,1,-999,79.7,2.7
KNOZ,-999,1,-999,5.3,32.8
HARV,-999,1,-999,53.3,15.7
STER,-999,1,-999,46.7,19
OAES,-999,1,-999,12.9,16.1
JORN,-999,1,-999,86.7,7.1
BLAN,-999,1,-999,21.2,0
SCBI,-999,1,-999,16.4,32.1
SERC,-999,1,-999,61.7,11.5
DSNY,-999,1,-999,94,.7
JERC,-999,1,-999,86.2,1.8
OSBS,-999,1,-999,97,1
TREE,-999,1,-999,50.2,9.2
UNDE,-999,1,-999,62.3,5.7
KONA,-999,1,-999,5.3,32.8
UKFS,-999,1,-999,8.2,30.9
MLBS,-999,1,-999,63.3,6.8
ORNL,-999,1,-999,78.8,6.6
DCFS,-999,1,-999,29.3,32.3
NOGP,-999,1,-999,17.2,26
LENO,-999,1,-999,46.4,20.8
TALL,-999,1,-999,90.7,3
ABBY,-999,1,-999,27.2,36.4
SOAP,-999,1,-999,56.5,13.4
CLBJ,-999,1,-999,55.5,10.1
